0	12种复合维生素
1	12通道动态心电图
2	14×14激光干片
3	14×17激光干片
4	ABO亚型鉴定
5	ABO血型鉴定
6	B超常规检查
7	Rh血型其他抗原鉴定
8	Rh血型的C抗原鉴定
9	Rh血型的E抗原鉴定
10	Rh血型鉴定
11	X线摄影
12	X线计算机体层
13	X线透视影像增强器
14	X线透视检查
15	X线透视电视屏
16	α1微球蛋白测定
17	β2微球蛋白测定
18	一级护理
19	一般专项护理
20	七氟烷
21	三级护理
22	三通管
23	丙型肝炎抗体测定
24	中单
25	中心给氧
26	中换药
27	乙型肝炎e抗体测定
28	乙型肝炎核心IgM抗体测定
29	乙型肝炎核心抗体测定
30	乙型肝炎表面抗体测定
31	乙型肝炎表面抗原测定
32	乳酸脱氢酶测定
33	二级护理
34	人免疫缺陷病毒抗体测定
35	低分子右旋糖酐氨基酸
36	住院诊查费
37	体内置放材料
38	保留灌肠
39	克咳胶囊
40	全血粘度测定
41	全身麻醉
42	内置材料
43	冠心宁注射液
44	凝血酶时间测定
45	利多卡因
46	动态血压监测
47	动静脉置管护理
48	包皮环切术
49	医用生物胶
50	十二通道心电图检查
51	单翼留置针
52	单项补体测定
53	卫生材料
54	卫生材料费
55	去氨加压素
56	参附注射液
57	双腔导尿管
58	口腔器械盘
59	口腔护理
60	口腔护理包
61	吗啡
62	吸痰管
63	呼吸机辅助呼吸
64	咪达唑仑
65	哌拉西林舒巴坦
66	喜炎平注射液
67	地塞米松
68	基础麻醉
69	备皮
70	备皮包
71	复方氨基比林
72	复方氨基酸
73	复方氯化钠
74	复方甘草
75	复方盐酸伪麻黄碱缓释胶囊
76	多潘立酮
77	多索茶碱
78	大小便器
79	大换药
80	大纱布垫
81	头孢克肟
82	头孢呋辛
83	头孢哌酮舒巴坦
84	头孢唑林
85	头孢孟多酯
86	头孢替安
87	头孢甲肟
88	头孢硫脒
89	奈替米星
90	奥美拉唑
91	室壁运动分析
92	导尿
93	导尿包
94	导管
95	小儿复方氨基酸
96	小儿静脉输液
97	小换药
98	尿α1微量球蛋白测定
99	尿常规检查
100	尿沉渣定量
101	尿沉渣镜检
102	尿液分析
103	尿素测定
104	尿红细胞位相
105	尿袋
106	尿道口护理
107	嵌顿疝复位修补术
108	左卡尼汀
109	左心功能彩色多普勒超声检查
110	左心功能测定
111	左氧氟沙星
112	布比卡因
113	常规心电图检查
114	常规心电图检查导联
115	康复评定
116	引导式教育训练
117	引流袋
118	彩色多普勒超声常规检查
119	微量输液泵
120	心律失常捕捉监测
121	心率变异性分析
122	心电事件记录
123	心电监测
124	心脏彩色多普勒超声
125	快速血浆反应素试验
126	总前列腺特异性抗原测定
127	手术包
128	手术标本检查与诊断
129	托烷司琼
130	指脉氧监测
131	插管
132	数字化摄影
133	敷贴
134	新生儿监护
135	无创辅助通气
136	无机磷测定
137	无针密闭输液接头
138	日常生活能力评定量表
139	昂丹司琼
140	曲马多
141	更换引流装置
142	替硝唑
143	术后镇痛
144	果糖
145	柴胡注射液
146	梅毒螺旋体特异抗体测定
147	椎管内麻醉
148	气管套管
149	气管插管术
150	氟马西尼
151	氧化雾化
152	氧气吸入
153	氨溴索
154	氨甲环酸
155	氨甲苯酸
156	氯化钠
157	氯化钾
158	氯测定
159	氯胺酮
160	氯芬待因
161	治疗费
162	泌尿系彩色多普勒超声检查
163	注射器
164	泮托拉唑
165	活化部分凝血活酶时间测定
166	浅表器官彩色多普勒超声检查
167	淀粉酶测定
168	清洁灌肠
169	游离前列腺特异性抗原测定
170	特布他林
171	特殊消毒费
172	特殊缝线
173	特殊采血管
174	特级护理
175	琥珀酰明胶
176	甘露醇
177	生脉注射剂
178	甲型肝炎抗体测定
179	甲氧氯普胺
180	电刀
181	电极
182	留置导尿
183	留置静脉针
184	疾病健康教育
185	病理彩色图文报告
186	痔手术
187	痰热清注射液
188	白眉蛇毒血凝酶
189	皮肤护理
190	睾丸固定术
191	硬膜外包
192	硬膜外连续镇痛
193	硬膜外阻滞麻醉
194	碳酸氢钠
195	磁共振平扫
196	磁共振扫描
197	磁共振水成象
198	租赁临时床
199	粪便常规
200	粪便隐血试验
201	红细胞沉降率测定
202	纤维蛋白
203	组织病理学检查与诊断
204	组织病理学检查与诊断增加一个蜡块
205	维生素B6
206	维生素C
207	维生素K1
208	罗哌卡因
209	美洛西林
210	美洛西林舒巴坦
211	肌肉注射
212	肌酐测定
213	肝素
214	胶片
215	胸带
216	胸部普通透视
217	脂溶性维生素
218	脂肪乳
219	脸盆
220	脸盆、大小便器
221	腰麻
222	腹股沟疝修补术
223	腹部彩色多普勒超声检查
224	腹部普通透视
225	腺苷脱氨酶测定
226	膀胱残余尿量测定
227	舒肝宁注射液
228	舒芬太尼
229	芬太尼
230	苯巴比妥
231	葡萄糖
232	葡萄糖氯化钠
233	葡萄糖测定
234	葡萄糖酸钙
235	螺旋CT
236	血同型半胱氨酸测定
237	血必净注射液
238	血氧饱和度监测
239	血浆D-二聚体测定
240	血浆凝血酶原时间测定
241	血浆抗凝血酶三活性测定
242	血浆粘度测定
243	血浆纤溶酶原活性测定
244	血浆纤维蛋白原测定
245	血清5′核苷酸酶测定
246	血清α-L-岩藻糖苷酶测定
247	血清α羟基丁酸脱氢酶测定
248	血清γ-谷氨酰基转移酶测定
249	血清丙氨酸氨基转移酶测定
250	血清人绒毛膜促性腺激素测定
251	血清低密度脂蛋白胆固醇测定
252	血清天门冬氨酸氨基转移酶测定
253	血清尿酸测定
254	血清总胆固醇测定
255	血清总胆汁酸测定
256	血清总胆红素测定
257	血清总蛋白测定
258	血清果糖胺测定
259	血清甘油三酯测定
260	血清白蛋白测定
261	血清直接胆红素测定
262	血清碱性磷酸酶测定
263	血清碳酸氢盐
264	血清碳酸氢盐测定
265	血清肌酸激酶测定
266	血清肌酸激酶－MB同工酶活性测定
267	血清胆碱脂酶测定
268	血清胱抑素测定
269	血清脂肪酶测定
270	血清腺苷脱氨酶测定
271	血清载脂蛋白A一测定
272	血清载脂蛋白B测定
273	血清载脂蛋白α测定
274	血清酸性磷酸酶测定
275	血清间接胆红素测定
276	血清高密度脂蛋白胆固醇测定
277	血细胞分析
278	视黄醇结合蛋白测定
279	负压吸引器
280	超声计算机图文报告
281	转化糖电解质
282	辅酶Q10
283	输液器
284	连接管
285	遥测心电监护
286	酚磺乙胺
287	采血器
288	钙测定
289	钠测定
290	钾测定
291	镁测定
292	镇痛装置
293	门冬氨酸钾镁
294	阿奇霉素
295	阿托品
296	阿莫西林氟氯西林
297	青霉素
298	静脉注射
299	静脉留置导管
300	静脉穿刺置管术
301	静脉输液
302	静脉采血
303	面罩
304	香菇多糖
305	高压注射器管套
306	高频电刀
307	麻醉中监
308	麻醉中监测
309	麻黄碱
